Employee #,Last Name,First Name,SSS #,PhilHealth #,TIN #,Pag-IBIG #,Position,Hourly Rate,Basic Salary,Hours Worked,Gross Pay,Total Deductions,Net Pay
10001,Garcia,Manuel III,44-4506057-3,820126853951,442-605-657-000,691295330870,Chief Executive Officer,535.71,90000.00,1380.07,739315.51,168037.45,571278.06
10002,Lim,Antonio,52-2061274-9,331735646338,683-102-776-000,663904995411,Chief Operating Officer,357.14,60000.00,1364.82,487430.62,92471.99,394958.64
10003,Aquino,Bianca Sofia,30-8870406-2,177451189665,971-711-280-000,171519773969,Chief Finance Officer,357.14,60000.00,1365.67,487734.19,92563.06,395171.14
10004,Reyes,Isabella,40-2511815-0,341911411254,876-809-437-000,416946776041,Chief Marketing Officer,357.14,60000.00,1362.15,486478.25,92186.28,394291.98
10005,Hernandez,Eduard,50-5577638-1,957436191812,031-702-374-000,952347222457,IT Operations and Systems,313.51,52670.00,1348.08,422637.61,75982.90,346654.70
10006,Villanueva,Andrea Mae,49-1632020-8,382189453145,317-674-022-000,441093369646,HR Manager,313.51,52670.00,1361.73,426917.02,77052.75,349864.26
10007,San Jose,Brad,40-2400714-1,239192926939,672-474-690-000,210850209964,HR Team Leader,255.80,42975.00,1361.30,348220.54,56571.12,291649.42
10008,Romualdez,Alice,55-4476527-2,545652640232,888-572-294-000,211385556888,HR Rank and File,133.93,22500.00,1389.08,186039.93,17134.27,168905.67
10009,Atienza,Rosie,41-0644692-3,708988234853,604-997-793-000,260107732354,HR Rank and File,133.93,22500.00,1381.58,185035.46,16921.32,168114.14
10010,Alvaro,Roderick,64-7605054-4,578114853194,525-420-419-000,799254095212,Accounting Head,313.51,52670.00,1364.27,427711.24,77251.31,350459.93
10011,Salcedo,Anthony,26-9647608-3,126445315651,210-805-911-000,218002473454,Payroll Manager,302.53,50825.00,1340.63,405581.80,71556.75,334025.06
10012,Lopez,Josie,44-8563448-3,431709011012,218-489-737-000,113071293354,Payroll Team Leader,229.02,38475.00,1357.20,310825.94,46801.78,264024.17
10013,Farala,Martha,45-5656375-0,233693897247,210-835-851-000,631130283546,Payroll Rank and File,142.86,24000.00,1362.05,194582.46,18945.28,175637.18
10014,Martinez,Leila,27-2090996-4,515741057496,275-792-513-000,101205445886,Payroll Rank and File,142.86,24000.00,1371.87,195984.87,19242.59,176742.28
10015,Romualdez,Fredrick,26-8768374-1,308366860059,598-065-761-000,223057707853,Account Manager,318.45,53500.00,1371.65,436801.94,79523.99,357277.96
10016,Mata,Christian,49-2959312-6,824187961962,103-100-522-000,631052853464,Account Team Leader,255.80,42975.00,1370.18,350492.90,57164.77,293328.13
10017,De Leon,Selena,27-2090208-8,587272469938,482-259-498-000,719007608464,Account Team Leader,249.11,41850.00,1376.15,342812.73,55158.32,287654.40
10018,San Jose,Allison,45-3251383-0,745148459521,121-203-336-000,114901859343,Account Rank and File,133.93,22500.00,1354.00,181341.22,16138.14,165203.08
10019,Rosario,Cydney,49-1629900-2,579253435499,122-244-511-000,265104358643,Account Rank and File,133.93,22500.00,1345.57,180211.74,15898.69,164313.05
10020,Bautista,Mark,49-1647342-5,399665157135,273-970-941-000,260054585575,Account Rank and File,138.39,23250.00,1359.55,188148.12,17581.20,170566.92
10021,Lazaro,Darlene,45-5617168-2,606386917510,354-650-951-000,104907708845,Account Rank and File,138.39,23250.00,1382.37,191305.72,18250.61,173055.11
10022,Delos Santos,Kolby,52-0109570-6,357451271274,187-500-345-000,113017988667,Account Rank and File,142.86,24000.00,1368.83,195551.53,19150.72,176400.81
10023,Santos,Vella,52-9883524-3,548670482885,101-558-994-000,360028104576,Account Rank and File,133.93,22500.00,1337.53,179135.84,15670.60,163465.24
10024,Del Rosario,Tomas,45-5866331-6,953901539995,560-735-732-000,913108649964,Account Rank and File,133.93,22500.00,1363.55,182620.25,16409.29,166210.96
10025,Tolentino,Jacklyn,47-1692793-0,753800654114,841-177-857-000,210546661243,Account Rank and File,142.86,24000.00,1354.70,193532.44,18722.68,174809.76
10026,Gutierrez,Percival,40-9504657-8,797639382265,502-995-671-000,210897095686,Account Rank and File,147.32,24750.00,1381.85,203574.14,20851.52,182722.62
10027,Manalaysay,Garfield,45-3298166-4,810909286264,336-676-445-000,211274476563,Account Rank and File,147.32,24750.00,1336.85,196944.74,19446.09,177498.66
10028,Villegas,Lizeth,40-2400719-4,934389652994,210-395-397-000,122238077997,Account Rank and File,142.86,24000.00,1350.72,192963.38,18602.04,174361.35
10029,Ramos,Carol,60-1152206-4,351830469744,395-032-717-000,212141893454,Account Rank and File,133.93,22500.00,1367.42,183138.11,16519.08,166619.03
10030,Maceda,Emelia,54-1331005-0,465087894112,215-973-013-000,515012579765,Account Rank and File,133.93,22500.00,1375.57,184229.64,16750.48,167479.16
10031,Aguilar,Delia,52-1859253-1,136451303068,599-312-588-000,110018813465,Account Rank and File,133.93,22500.00,1368.20,183243.03,16541.32,166701.70
10032,Castro,John Rafael,26-7145133-4,601644902402,404-768-309-000,697764069311,Sales & Marketing,313.51,52670.00,1360.92,426660.98,76988.75,349672.24
10033,Martinez,Carlos Ian,11-5062972-7,380685387212,256-436-296-000,993372963726,Supply Chain and Logistics,313.51,52670.00,1357.75,425668.20,76740.55,348927.65
10034,Santos,Beatriz,20-2987501-5,918460050077,911-529-713-000,874042259378,Customer Service and Relations,313.51,52670.00,1376.37,431504.71,78199.68,353305.04

